;
;
;
;
;
0x2517061E            
0xffffffff            
0x0   0x003B7140      
0x1   0x003B68D0      
0x3   0x003B1FF0      
0x6   0x00AFE380      
0x7   0x00AFE5E0      
0x8   0x0011E120      
0x9   0x0011CD80      
0xa   0x00AFEC10      
0xf   0x00A21040      
0x15  0x001077A0      
0x17  0x001068D0      
0x19  0x001115FD      
0x28  0x008DA0CE      
0x29  0x008D4CB0      
0x3b  0x0017DB40      
0x3c  0x0017DE40      
0x3d  0x0017D370      
0x3e  0x0017E0C0      
;
0x20  0x001479C0      
0x21  0x00105480      
0x22  0x0145B8AC      
0x24  0x0010FBC9      
0x2f  0x01843384      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01443024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x0185F5C0      
ConfigAddr          0x0186A3F4      
PingPtr             0x01490FF8      
SafeSpace           0x016F0000      
ImgCkSum            0x0326c0d2      
CodeCkSum           0x0326c0d2      
TimeTablePtr        0x018e3750
CritTablePtr        0x01872bb0
LogTablePtr         0x01872ba0
LogOptsPtr          0x018716cc
;
Printf              0x00AFEC10      
Socket              0x003BD820      
Bind                0x003BE410      
Connect             0x003C1240      
Send                0x003C1360      
Recv                0x003C1840      
Close               0x003C1CD0      
Malloc              0x0011E120      
Free                0x0011CD80      
Resched             0x0010F270      
;
;
;
:EOS:
;
