;
;
;
;
;
0x251704e5            
0xffffffff            
0x0   0x003B81F0      
0x1   0x003B7980      
0x3   0x003B30A0      
0x6   0x00B04380      
0x7   0x00B045E0      
0x8   0x0011E120      
0x9   0x0011CD80      
0xa   0x00B04C10      
0xf   0x00A27030      
0x15  0x001077A0      
0x17  0x001068D0      
0x19  0x001112CE      
0x28  0x008DFDFE      
0x29  0x008DA9E0      
0x3b  0x0017DFA0      
0x3c  0x0017E2A0      
0x3d  0x0017D7D0      
0x3e  0x0017E520      
;
0x20  0x00147B80      
0x21  0x00105480      
0x22  0x014618AC      
0x24  0x0010FBC9      
0x2f  0x01849384      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01449024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01865560      
ConfigAddr          0x01870394      
PingPtr             0x01496FF8      
SafeSpace           0xFFFFFFF7      
ImgCkSum            0xdd0daf7c      
CodeCkSum           0xdd0daf7c      
TimeTablePtr        0x018e96f0
CritTablePtr        0x01878b50
LogTablePtr         0x01878b40
LogOptsPtr          0x0187766c
;
Printf              0x00B04C10      
Socket              0x003BE8C0      
Bind                0x003BF4B0      
Connect             0x003C22E0      
Send                0x003C2400      
Recv                0x003C28E0      
Close               0x003C2D70      
Malloc              0x0011E120      
Free                0x0011CD80      
Resched             0x0010F270      
;
;
;
:EOS:
;
