;
;
;
;
;
0x26170756            
0xffffffff            
0x0   0x00427CB0      
0x1   0x004275C0      
0x3   0x00422B00      
0x6   0x00BF8930      
0x7   0x00BF8BA0      
0x8   0x00124860      
0x9   0x00124FD0      
0xa   0x00BF91F0      
0xf   0x00AF19D0      
0x15  0x0010A700      
0x17  0x00109810      
0x19  0x00117D8D      
0x28  0x0097F86E      
0x29  0x0097A3E0      
0x3b  0x001999F0      
0x3c  0x00199CF0      
0x3d  0x00199220      
0x3e  0x00199F70      
;
0x20  0x0015B440      
0x21  0x00106F60      
0x22  0x015C28CC      
0x24  0x00112BE9      
0x2f  0x01A0A638      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x015AA024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01A26DC0      
ConfigAddr          0x01A3224C      
PingPtr             0x0161D278      
SafeSpace           0x015e0200      
ImgCkSum            0x45d5df5b      
CodeCkSum           0x45d5df5b      
TimeTablePtr        0x01aac3f0
CritTablePtr        0x01a3abf0
LogTablePtr         0x01a3abe0
LogOptsPtr          0x01a39710
;
Printf              0x00BF91F0      
Socket              0x0042E790      
Bind                0x0042F380      
Connect             0x004321B0      
Send                0x004322D0      
Recv                0x004327B0      
Close               0x00432C40      
Malloc              0x00124860      
Free                0x00124FD0      
Resched             0x00112280      
;
;
;
:EOS:
;
