;
;
;
;
;
0x26170896            
0xffffffff            
0x0   0x00428E60      
0x1   0x00428770      
0x3   0x00423C20      
0x6   0x00BFEEC0      
0x7   0x00BFF130      
0x8   0x00124860      
0x9   0x00124FD0      
0xa   0x00BFF780      
0xf   0x00AF7DB0      
0x15  0x0010A700      
0x17  0x00109810      
0x19  0x00117D8D      
0x28  0x0098597E      
0x29  0x009804F0      
0x3b  0x00199D00      
0x3c  0x0019A000      
0x3d  0x00199530      
0x3e  0x0019A280      
;
0x20  0x0015B510      
0x21  0x00106F60      
0x22  0x015CA8CC      
0x24  0x00112BE9      
0x2f  0x01A12638      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x015B2024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01A2ED60      
ConfigAddr          0x01A3A1EC      
PingPtr             0x01625278      
SafeSpace           0x01900000      
ImgCkSum            0x15600b89      
CodeCkSum           0x15600b89      
TimeTablePtr        0x01ab4390
CritTablePtr        0x01a42b90
LogTablePtr         0x01a42b80
LogOptsPtr          0x01a416b0
;
Printf              0x00BFF780      
Socket              0x0042F930      
Bind                0x00430520      
Connect             0x00433360      
Send                0x00433480      
Recv                0x00433970      
Close               0x00433E00      
Malloc              0x00124860      
Free                0x00124FD0      
Resched             0x00112280      
;
;
;
:EOS:
;
