;
;
;
;
;
0x26170cd0            
0xffffffff            
0x0   0x00429450      
0x1   0x00428D60      
0x3   0x00424210      
0x6   0x00C00470      
0x7   0x00C006E0      
0x8   0x00124860      
0x9   0x00124FD0      
0xa   0x00C00D30      
0xf   0x00AF8B70      
0x15  0x0010A700      
0x17  0x00109810      
0x19  0x00117D8D      
0x28  0x0098647E      
0x29  0x00980FF0      
0x3b  0x00199A50      
0x3c  0x00199D50      
0x3d  0x00199280      
0x3e  0x00199FD0      
;
0x20  0x0015B750      
0x21  0x00106F60      
0x22  0x015CB8CC      
0x24  0x00112BE9      
0x2f  0x01A1363C      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x015B3024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01A2FD20      
ConfigAddr          0x01A3B18C      
PingPtr             0x01626298      
SafeSpace           0x01900000      
ImgCkSum            0x974e56e5      
CodeCkSum           0x974e56e5      
TimeTablePtr        0x01ab5f30
CritTablePtr        0x01a43b30
LogTablePtr         0x01a43b20
LogOptsPtr          0x01a42650
;
Printf              0x00C00D30      
Socket              0x0042FF50      
Bind                0x00430B40      
Connect             0x00433980      
Send                0x00433AA0      
Recv                0x00433FB0      
Close               0x00434440      
Malloc              0x00124860      
Free                0x00124FD0      
Resched             0x00112280      
;
;
;
:EOS:
;
