;
;
;
;
;
0x26170cb6            
0xffffffff            
0x0   0x0042FA70      
0x1   0x0042F380      
0x3   0x0042A820      
0x6   0x00C0CAB0      
0x7   0x00C0CD20      
0x8   0x001248A0      
0x9   0x00125010      
0xa   0x00C0D370      
0xf   0x00B04A50      
0x15  0x0010A700      
0x17  0x001091F0      
0x19  0x00117A79      
0x28  0x009917FE      
0x29  0x0098C2C0      
0x3b  0x0019BD50      
0x3c  0x0019C050      
0x3d  0x0019B580      
0x3e  0x0019C2D0      
;
0x20  0x0015D380      
0x21  0x00106F60      
0x22  0x015E68CC      
0x24  0x00112C09      
0x2f  0x01A2E934      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x015CE024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01A4B040      
ConfigAddr          0x01A5696C      
PingPtr             0x01641458      
SafeSpace           0xFFFFFFF7      
ImgCkSum            0x111cbe4f
CodeCkSum           0x111cbe4f
TimeTablePtr        0x01ad1950
CritTablePtr        0x01a5f510
LogTablePtr         0x01a5f500
LogOptsPtr          0x01a5e030
;
Printf              0x00C0D370      
Socket              0x00436570      
Bind                0x00437160      
Connect             0x00439FA0      
Send                0x0043A0C0      
Recv                0x0043A5D0      
Close               0x0043AA60      
Malloc              0x001248A0      
Free                0x00125010      
Resched             0x00112290      
;
;
;
:EOS:
;
