;
;
;
;
;
0x26170667            
0xffffffff            
0x0   0x0045D080      
0x1   0x0045C990      
0x3   0x00457C90      
0x6   0x00C555E0      
0x7   0x00C55850      
0x8   0x00124EB0      
0x9   0x00125620      
0xa   0x00C55EA0      
0xf   0x00B498E0      
0x15  0x0010ADD0      
0x17  0x00109EE0      
0x19  0x001184CD      
0x28  0x009D511E      
0x29  0x009CFC90      
0x3b  0x0019AAB0      
0x3c  0x0019ADB0      
0x3d  0x0019A2E0      
0x3e  0x0019B030      
;
0x20  0x0015BFA0      
0x21  0x00107590      
0x22  0x016468CC      
0x24  0x001132D9      
0x2f  0x01AA7798      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x0162E024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01ACCC20      
ConfigAddr          0x01AD86CC      
PingPtr             0x016A2498      
SafeSpace           0x0198e040      
ImgCkSum            0x3efcbf45      
CodeCkSum           0x3efcbf45      
TimeTablePtr        0x01b5f310
CritTablePtr        0x01ae12b0
LogTablePtr         0x01ae12a0
LogOptsPtr          0x01adfdd0
;
Printf              0x00C55EA0      
Socket              0x00463B90      
Bind                0x00464780      
Connect             0x004675C0      
Send                0x004676E0      
Recv                0x00467C30      
Close               0x004680D0      
Malloc              0x00124EB0      
Free                0x00125620      
Resched             0x00112960      
;
;
;
:EOS:
;
