;
;
;
;
;
0x26170caa            
0xffffffff            
0x0   0x0045F4C0      
0x1   0x0045EDD0      
0x3   0x0045A0D0      
0x6   0x00C5B010      
0x7   0x00C5B280      
0x8   0x00124EB0      
0x9   0x00125620      
0xa   0x00C5B8D0      
0xf   0x00B4F300      
0x15  0x0010ADD0      
0x17  0x00109EE0      
0x19  0x00118159      
0x28  0x009DA13E      
0x29  0x009D4CB0      
0x3b  0x0019AC90      
0x3c  0x0019AF90      
0x3d  0x0019A4C0      
0x3e  0x0019B210      
;
0x20  0x0015BFD0      
0x21  0x00107590      
0x22  0x0164E8CC      
0x24  0x001132D9      
0x2f  0x01AAEA90      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01636024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01AD3F40      
ConfigAddr          0x01ADF9EC      
PingPtr             0x016AA4F8      
SafeSpace           0x3ffff000      
ImgCkSum            0xbed83415      
CodeCkSum           0xbed83415      
TimeTablePtr        0x01b66630
CritTablePtr        0x01ae85d0
LogTablePtr         0x01ae85c0
LogOptsPtr          0x01ae70f0
;
Printf              0x00C5B8D0      
Socket              0x00465FF0      
Bind                0x00466BE0      
Connect             0x00469A20      
Send                0x00469B40      
Recv                0x0046A090      
Close               0x0046A530      
Malloc              0x00124EB0      
Free                0x00125620      
Resched             0x00112960      
;
;
;
:EOS:
;
