;
;
;
;
;
0x261703ad            
0xffffffff            
0x0   0x00461B10      
0x1   0x00461420      
0x3   0x0045C720      
0x6   0x00C5EF80      
0x7   0x00C5F1F0      
0x8   0x00124EB0      
0x9   0x00125620      
0xa   0x00C5F840      
0xf   0x00B527B0      
0x15  0x0010ADD0      
0x17  0x001098C0      
0x19  0x00118159      
0x28  0x009DD35E      
0x29  0x009D7ED0      
0x3b  0x0019CAB0      
0x3c  0x0019CDB0      
0x3d  0x0019C2E0      
0x3e  0x0019D030      
;
0x20  0x0015DCB0      
0x21  0x00107590      
0x22  0x016588CC      
0x24  0x001132D9      
0x2f  0x01AB9A90      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01640024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01ADEF40      
ConfigAddr          0x01AEA9EC      
PingPtr             0x016B4658      
SafeSpace           0xFFFFFFF7      
ImgCkSum            0x2703f4cc      
CodeCkSum           0x2703f4cc      
TimeTablePtr        0x01b71830
CritTablePtr        0x01af35d0
LogTablePtr         0x01af35c0
LogOptsPtr          0x01af20f0
;
Printf              0x00C5F840      
Socket              0x00468640      
Bind                0x00469230      
Connect             0x0046C070      
Send                0x0046C190      
Recv                0x0046C6E0      
Close               0x0046CB80      
Malloc              0x00124EB0      
Free                0x00125620      
Resched             0x00112960      
;
;
;
:EOS:
;
