;
;
;
;
;
0x26170B26            
0xffffffff            
0x0   0x0049C840      
0x1   0x0049C150      
0x3   0x00496690      
0x6   0x00D22FF0      
0x7   0x00D23280      
0x8   0x00125F70      
0x9   0x00126730      
0xa   0x00D238F0      
0xf   0x00BEDAF0      
0x15  0x0010ADA0      
0x17  0x00109F30      
0x19  0x00118DEC      
0x28  0x00A6BC9E      
0x29  0x00A66760      
0x3b  0x001A6EB0      
0x3c  0x001A71B0      
0x3d  0x001A66E0      
0x3e  0x001A7430      
;
0x20  0x00160320      
0x21  0x00107540      
0x22  0x0177E948      
0x24  0x001135A9      
0x2f  0x01C039F4      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01766024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01C2AC80      
ConfigAddr          0x01C36AEC      
PingPtr             0x017E2278      
SafeSpace           0xFFFFFFF7      
ImgCkSum            0xd92c6a7d
CodeCkSum           0xd92c6a7d
TimeTablePtr        0x01cc09d0
CritTablePtr        0x01c40510
LogTablePtr         0x01c40500
LogOptsPtr          0x01c3eff0
;
Printf              0x00D238F0      
Socket              0x004A3490      
Bind                0x004A40A0      
Connect             0x004A6F50      
Send                0x004A7070      
Recv                0x004A75C0      
Close               0x004A7A50      
Malloc              0x00125F70      
Free                0x00126730      
Resched             0x00112C40      
;
;
;
:EOS:
;
