;
;
;
;
;
0x26170de8            
0xffffffff            
0x0   0x004A2FD0      
0x1   0x004A28E0      
0x3   0x0049CE20      
0x6   0x00D330D0      
0x7   0x00D33360      
0x8   0x00125FD0      
0x9   0x00126790      
0xa   0x00D339D0      
0xf   0x00BFC1E0      
0x15  0x0010ADA0      
0x17  0x00109F30      
0x19  0x00118E4C      
0x28  0x00A7700E      
0x29  0x00A71AD0      
0x3b  0x001AA320      
0x3c  0x001AA620      
0x3d  0x001A9B50      
0x3e  0x001AA8A0      
;
0x20  0x001627A0      
0x21  0x00107540      
0x22  0x01790948      
0x24  0x001135A9      
0x2f  0x01C12AB4      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01778024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01C39D80      
ConfigAddr          0x01C45BEC      
PingPtr             0x017F43D8      
SafeSpace           0x3fffe004      
ImgCkSum            0x3828f466
CodeCkSum           0x3828f466
TimeTablePtr        0x01ccfdf0
CritTablePtr        0x01c4f750
LogTablePtr         0x01c4f740
LogOptsPtr          0x01c4e110
;
Printf              0x00D339D0      
Socket              0x004A9C10      
Bind                0x004AA820      
Connect             0x004AD6D0      
Send                0x004AD7F0      
Recv                0x004ADD40      
Close               0x004AE1D0      
Malloc              0x00125FD0      
Free                0x00126790      
Resched             0x00112C40      
;
;
;
:EOS:
;
