;
;
;
;
;
0x261708C0            
0xffffffff            
0x0   0x004A6D40      
0x1   0x004A6650      
0x3   0x004A0B90      
0x6   0x00D3A270      
0x7   0x00D3A500      
0x8   0x00126D20      
0x9   0x001274E0      
0xa   0x00D3AB70      
0xf   0x00C03310      
0x15  0x0010BA40      
0x17  0x0010ABD0      
0x19  0x00119B9C      
0x28  0x00A7DF7E      
0x29  0x00A78A40      
0x3b  0x001ABF70      
0x3c  0x001AC270      
0x3d  0x001AB7A0      
0x3e  0x001AC4F0      
;
0x20  0x001639C0      
0x21  0x001081E0      
0x22  0x0179A948      
0x24  0x001142F9      
0x2f  0x01C2B1B4      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01782024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01C52480      
ConfigAddr          0x01C5E2EC      
PingPtr             0x017FE3F8      
SafeSpace           0x3fffe004      
ImgCkSum            0x769dfa76
CodeCkSum           0x769dfa76
TimeTablePtr        0x01ce8530
CritTablePtr        0x01c67e54
LogTablePtr         0x01c67e44
LogOptsPtr          0x01c66834
;
Printf              0x00D3AB70      
Socket              0x004AD990      
Bind                0x004AE5A0      
Connect             0x004B1450      
Send                0x004B1570      
Recv                0x004B1AC0      
Close               0x004B1F50      
Malloc              0x00126D20      
Free                0x001274E0      
Resched             0x00113990      
;
;
;
:EOS:
;
