;
;
;
;
0x261707B7                  
0xffffffff                  
0x0     0x004A8630          
0x1     0x004A7F40          
0x3     0x004A2470          
0x6     0x00D42240          
0x7     0x00D424D0          
0x8     0x00127170          
0x9     0x00127930          
0xa     0x00D42B40          
0xf     0x00C0AA70          
0x15    0x0010BCC0          
0x17    0x0010AE50          
0x19    0x0011A26F          
0x20    0x00164440          
0x21    0x00108410          
0x22    0x017AC948          
0x24    0x00114609          
0x28    0x01925ACC          
0x29    0x00A7E910          
0x2f    0x01C42474          
;
0x30    0x00000018          
0x31    0x00000034          
0x32    0x00000094          
0x33    0x00000000          
0x34    0x00000070          
0x35    0x0178D024          
0x3b    0x001AB4E0          
0x3c    0x001AB7E0          
0x3d    0x001AAD10          
0x3e    0x001ABA60          
0x3f    0x00A817E0          
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr      0x01C6A7C0             
ConfigAddr           0x01C7664C             
PingPtr              0x01810418             
SafeSpace            0x00000000             
ImgCkSum             0xDA6F9337             
CodeCkSum            0xDA6F9337             
SystemCkSum          0x007AA5B0             
TimeTablePtr         0x01D00A10             
LogTablePtr          0x01C80320             
LogOptsPtr           0x01C7EC1C             
CritTablePtr         0x01C80330             
MixedConfig          0x007FD150             
Printf               0x00D42B40             
Socket               0x004AF280             
Bind                 0x004AFE90             
Connect              0x004B2D40             
Send                 0x004B2E60             
Recv                 0x004B33B0             
Close                0x004B3840             
Malloc               0x00127170             
Free                 0x00127930             
Resched              0x00113CA0             
;
;
:EOS:
;
