;
;
;
;
0x26170B3F                  
0xffffffff                  
0x0     0x004F0FA0          
0x1     0x004F0690          
0x3     0x004EA3F0          
0x6     0x00E41E20          
0x7     0x00E42050          
0x8     0x00126700          
0x9     0x00126F10          
0xa     0x00E434A0          
0xf     0x00CF4E40          
0x15    0x0010C380          
0x17    0x0010C6A0          
0x19    0x0011A8FF          
0x20    0x0016C580          
0x21    0x001099A0          
0x22    0x0195879C          
0x24    0x00115FB9          
0x28    0x01ADBC6C          
0x29    0x00B5CC30          
0x2f    0x01E25740          
;
0x30    0x00000018          
0x31    0x00000034          
0x32    0x00000094          
0x33    0x00000000          
0x34    0x00000070          
0x35    0x01939024          
0x3b    0x001B8790          
0x3c    0x001B8A70          
0x3d    0x001B8280          
0x3e    0x001B8CE0          
0x3f    0x00B5FD70          
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr      0x01E4D760             
ConfigAddr           0x01E5A598             
PingPtr              0x019BDF98             
SafeSpace            0x00000000             
CodeCkSum            0xae2b1e59             
ImgCkSum             0xae2b1e59             
Printf               0x00E434A0             
Socket               0x004F7E50             
Bind                 0x004F8850             
Connect              0x004FB870             
Send                 0x004FC060             
Recv                 0x004FC5F0             
Close                0x004FCA80             
Malloc               0x00126700             
Free                 0x00126F10             
Resched              0x001155C0             
TimeTablePtr         0x01EE7850             
CritTablePtr         0x01E646D4             
LogTablePtr          0x01E646C4             
LogOptsPtr           0x01E630B8             
;
;
:EOS:
;
