;
;
;
;
;
0x25190BBF            
0xffffffff            
0x0   0x002E9694      
0x1   0x002E8D98      
0x3   0x002E3E74      
0x6   0x00B94268      
0x7   0x00B9449C      
0x8   0x00098D88      
0x9   0x00099594      
0xa   0x00B959D0      
0xf   0x00A568B0      
0x15  0x00088404      
0x17  0x000886B0      
0x19  0x000933C4      
0x28  0x0080AA87      
0x29  0x00804AFC      
0x3b  0x000A9050      
0x3c  0x000A9398      
0x3d  0x000A8BB8      
0x3e  0x000A9660      
;
0x20  0x0069B6CC      
0x21  0x00092928      
0x22  0x0199BCD0      
0x24  0x00091CAC      
0x27  0x01700A18      
0x2f  0x01D76B40      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01983F84      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01D896C0      
ConfigAddr          0x01D8E940      
PingPtr             0x0172497C      
;
SafeSpace           0x01700000      
CodeCkSum           0x4bcab31f      
ImgCkSum            0x13456bbf      
TimeTablePtr        0x01dbef50
CritTablePtr        0x01d91640
LogTablePtr         0x01d911c0
LogOptsPtr          0x01d91650
;
Printf              0x00B959D0      
Socket              0x002F028C      
Bind                0x002F0EEC      
Connect             0x002F3E94      
Send                0x002F48D4      
Recv                0x002F4B28      
Close               0x002F4FA0      
Malloc              0x00098D88      
Free                0x00099594      
Resched             0x0009127C      
SyscallTable        0x01700A18      
;
;
;
:EOS:
;
