;
;
;
;
;
0x25190bc6            
0xffffffff            
0x0   0x002F5FC0      
0x1   0x002F56B0      
0x3   0x002F06AC      
0x6   0x00BCB140      
0x7   0x00BCB374      
0x8   0x00098CD8      
0x9   0x000994E4      
0xa   0x00BCC8B0      
0xf   0x00A8A538      
0x15  0x00088490      
0x17  0x0008874C      
0x19  0x00093490      
0x28  0x0083B753      
0x29  0x008357C8      
0x3b  0x000A9024      
0x3c  0x000A936C      
0x3d  0x000A8B8C      
0x3e  0x000A9634      
;
0x20  0x006B1BD4      
0x21  0x000929F4      
0x22  0x01A9D9E8      
0x24  0x00091D7C      
0x27  0x01800A18      
0x2f  0x01E78E40      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01A85C9C      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01E8B9C0      
ConfigAddr          0x01E90C40      
PingPtr             0x01824F04      
SafeSpace           0x01800000      
CodeCkSum           0xa6b614de      
ImgCkSum            0x0c042bc6      
TimeTablePtr        0x01ec1910
CritTablePtr        0x01e93b80
LogTablePtr         0x01e93700
LogOptsPtr          0x01e93b90
;
Printf              0x00BCC8B0      
Socket              0x002FCD00      
Bind                0x002FD960      
Connect             0x00300914      
Send                0x0030137C      
Recv                0x003015D0      
Close               0x00301A48      
Malloc              0x00098CD8      
Free                0x000994E4      
Resched             0x00091348      
SyscallTable        0x01800A18      
;
;
;
:EOS:
;
