;
;
;
;
;
0x2619055d            
0xffffffff            
0x0   0x00345F74      
0x1   0x003455E0      
0x3   0x003404C4      
0x6   0x00C7A830      
0x7   0x00C7AA64      
0x8   0x0009A9B8      
0x9   0x0009B0D8      
0xa   0x00C7BFB4      
0xf   0x00B2AD34      
0x15  0x00089E10      
0x17  0x0008A0BC      
0x19  0x00094E8C      
0x28  0x008B3E17      
0x29  0x008ADE40      
0x3b  0x000AC4F8      
0x3c  0x000AC840      
0x3d  0x000AC060      
0x3e  0x000ACB08      
;
0x20  0x00718320      
0x21  0x000943EC      
0x22  0x01C7D8CC      
0x24  0x00093774      
0x27  0x01901638      
0x2f  0x021B5360      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01C659E4      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x021C7F80      
ConfigAddr          0x021CD600      
PingPtr             0x0194E3E0      
SafeSpace           0x01900000      
CodeCkSum           0xba2d6978      
ImgCkSum            0x152d755d      
TimeTablePtr        0x021fe7d0
CritTablePtr        0x021d0320
LogTablePtr         0x021cfea0
LogOptsPtr          0x021d0330
;
Printf              0x00C7BFB4      
Socket              0x0034CD80      
Bind                0x0034D9E0      
Connect             0x00350974      
Send                0x0035113C      
Recv                0x00351604      
Close               0x00351A7C      
Malloc              0x0009A9B8      
Free                0x0009B0D8      
Resched             0x00092D38      
SyscallTable        0x01901638      
;
;
;
:EOS:
;
