;
;
;
;
;
0x26190C56            
0xffffffff            
0x0   0x003532B0      
0x1   0x0035291C      
0x3   0x0034D7B8      
0x6   0x00CA2B38      
0x7   0x00CA2D6C      
0x8   0x0009EA10      
0x9   0x0009F134      
0xa   0x00CA42E4      
0xf   0x00B51378      
0x15  0x0008A174      
0x17  0x0008A430      
0x19  0x00098EBC      
0x28  0x008D6A47      
0x29  0x008D09E4      
0x3b  0x000B0590      
0x3c  0x000B08D8      
0x3d  0x000B00F8      
0x3e  0x000B0BA0      
;
0x20  0x0072F020      
0x21  0x00094798      
0x22  0x01C85D2C      
0x24  0x00093B24      
0x27  0x01901640      
0x2f  0x022D5540      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01C6DE34      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x022E81A0      
ConfigAddr          0x022ED920      
PingPtr             0x0194EC38      
SafeSpace           0x01900000      
CodeCkSum           0x39a502e2      
ImgCkSum            0xfcf6ec56      
TimeTablePtr        0x0231eb90
CritTablePtr        0x022f06c0
LogTablePtr         0x022f0240 
LogOptsPtr          0x022f06d0
;
Printf              0x00CA42E4      
Socket              0x0035A144      
Bind                0x0035ADA4      
Connect             0x0035DD44      
Send                0x0035E794      
Recv                0x0035E9E8      
Close               0x0035EE60      
Malloc              0x0009EA10      
Free                0x0009F134      
Resched             0x000930E8      
SyscallTable        0x01901640      
;
;
;
:EOS:
;
