;
;
;
;
;
0x26190AC3            
0xffffffff            
0x0   0x0038A32C      
0x1   0x00389994      
0x3   0x00384674      
0x6   0x00CFC710      
0x7   0x00CFC944      
0x8   0x0009EDD8      
0x9   0x0009F4FC      
0xa   0x00CFDEBC      
0xf   0x00BA6398      
0x15  0x0008A404      
0x17  0x0008A6C0      
0x19  0x0009918C      
0x28  0x0091F26B      
0x29  0x00919208      
0x3b  0x000B0980      
0x3c  0x000B0CC8      
0x3d  0x000B04E8      
0x3e  0x000B0F90      
;
0x20  0x007753AC      
0x21  0x00094A50      
0x22  0x01D8BBA4      
0x24  0x00093DDC      
0x27  0x01A01638      
0x2f  0x02315540      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01D73CAC      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x0232B960      
ConfigAddr          0x023316A0      
PingPtr             0x01A5115C      
SafeSpace           0x01A00000      
CodeCkSum           0xe1fe4dd8      
ImgCkSum            0x90f45ac3      
TimeTablePtr        0x0236f6f0
CritTablePtr        0x02334680
LogTablePtr         0x02334200
LogOptsPtr          0x02334690
;
Printf              0x00CFDEBC      
Socket              0x00391228      
Bind                0x00391E88      
Connect             0x00394E28      
Send                0x003958CC      
Recv                0x00395B20      
Close               0x00395FA4      
Malloc              0x0009EDD8      
Free                0x0009F4FC      
Resched             0x0009338C      
SyscallTable        0x01A01638      
;
;
;
:EOS:
;
